"ID","LiveryName","LiveryCSS","Branding","Color","Live","AddedBy","ApprovedBy"
14,"JourneyWise 1,2 Hopper Decker",livery-010,"1,2 Hopper",,1,,
2,JourneyWise SUPER Loop Decker,livery-03,"3 SUPER Loop",,1,,
3,JourneyWise Fast Decker,livery-04,X3 Fast,,1,,
26,CMT,livery-2998,"",,1,,
25,Midland Classic Old,livery-9,"",,1,,
7,JourneyWise Villager Decker,livery-05,V1 the Villager,,1,,
10,JourneyWise 30X Decker,livery-06,"30X to Cedar Ridge",,1,,
11,JourneyWise 40X Decker,livery-07,"40X to Springvale",,1,,
12,JourneyWise 50X Decker,livery-08,"50X to Fairhaven",,1,,
13,JourneyWise 60X Decker,livery-09,"60X to Willowbrook",,1,,
15,"JourneyWise 1,2 Hopper",livery-011,"1,2 Hopper",,1,,
16,JourneyWise 40X,livery-012,"40X to Springvale",,1,,
1,JourneyWise Decker,livery-02,"",,1,,
24,JourneyWise Villager,livery-017,V1 the Villager,,1,,
18,JourneyWise SUPER Loop,livery-013,"3 SUPER Loop",,1,,
19,"JourneyWise 1,2 Hopper",livery-014,"1,2 Hopper",,1,,
22,JourneyWise Villager V1,livery-016,V1 the Villager,,1,,
21,JourneyWise New,livery-015,"",,1,,
27,Wolves Bus,livery-1950,"",,1,,
28,Bus Link,livery-1951,"",,1,,
30,IE-01,livery-3294,"",,1,,
31,Wolves Bus,livery-30,"",,1,,
32,Wolves Bus,livery-31,"",,1,,
33,Fastrack,livery-32,"","linear-gradient(125deg, #0094c0ff 35%, transparent 35.05%), linear-gradient(125deg, #acaba5ff 43%, transparent 43.05%), linear-gradient(125deg, #291e64ff 57%, transparent 57.05%), #acaba5ff",1,,
34,Barbie,livery-117,"",,1,,
35,London Red,livery-262,"",,1,,
37,J S C W Transport New,livery-118,"",,1,,
38,J S C W Transport Old,livery-119,"",,1,,
39,Greenline,livery-120,"",,1,,
40,J S C W Transport New Decker,livery-121,"",,1,,
41,South Croydon Expansion,livery-122,"",,1,,
42,J S C W Curved 168,livery-123,"",,1,,
